Gender,Age,COY,YOE,TaskID,CAT,CA,UA,Duration
3,18,1,1,1,1,2,2,5.975
3,18,1,1,2,2,1,1,7.203
3,18,1,1,3,1,4,4,19.683
3,18,1,1,4,2,2,2,8.764
3,18,1,1,5,1,3,3,11.291
3,18,1,1,6,2,4,4,12.622
3,18,1,1,7,1,3,3,9.27
3,18,1,1,8,2,4,4,18.387
3,18,1,1,9,1,2,2,9.902
3,18,1,1,10,2,1,1,11.575
3,18,1,1,11,1,3,3,10.568
3,18,1,1,12,2,1,1,6.265
3,18,1,1,13,1,4,4,12.78
3,18,1,1,14,2,2,2,9.25
3,18,1,1,15,1,1,2,15.11
3,18,1,1,16,2,3,3,24.637
2,21,4,4,1,1,2,2,5.561
2,21,4,4,2,2,1,1,7.371
2,21,4,4,3,1,4,4,10.27
2,21,4,4,4,2,2,2,10.987
2,21,4,4,5,1,3,3,5.555
2,21,4,4,6,2,4,4,6.295
2,21,4,4,7,1,3,3,12.234
2,21,4,4,8,2,4,4,9.014
2,21,4,4,9,1,2,2,14.331
2,21,4,4,10,2,1,1,9.542
2,21,4,4,11,1,3,3,7.306
2,21,4,4,12,2,1,1,6.9
2,21,4,4,13,1,4,4,5.913
2,21,4,4,14,2,2,2,6.582
2,21,4,4,15,1,1,1,9.103
2,21,4,4,16,2,3,3,12.334
1,37,5,5,1,1,2,2,8.946
1,37,5,5,2,2,1,1,9.927
1,37,5,5,3,1,4,4,10.556
1,37,5,5,4,2,2,2,9.595
1,37,5,5,5,1,3,3,5.699
1,37,5,5,6,2,4,4,8.337
1,37,5,5,7,1,3,3,11.556
1,37,5,5,8,2,4,4,21.814
1,37,5,5,9,1,2,2,7.901
1,37,5,5,10,2,1,1,11.888
1,37,5,5,11,1,3,3,7.398
1,37,5,5,12,2,1,1,2.973
1,37,5,5,13,1,4,4,10.021
1,37,5,5,14,2,2,2,8.512
1,37,5,5,15,1,1,1,11.612
1,37,5,5,16,2,3,1,10.143
1,20,2,2,1,1,2,1,3.053
1,20,2,2,2,2,1,1,12.803
1,20,2,2,3,1,4,4,7.176
1,20,2,2,4,2,2,2,23.522
1,20,2,2,5,1,3,3,5.242
1,20,2,2,6,2,4,4,9.037
1,20,2,2,7,1,3,3,6.936
1,20,2,2,8,2,4,4,7.469
1,20,2,2,9,1,2,2,25.624
1,20,2,2,10,2,1,1,8.569
1,20,2,2,11,1,3,3,6.783
1,20,2,2,12,2,1,1,3.956
1,20,2,2,13,1,4,4,3.763
1,20,2,2,14,2,2,3,6.429
1,20,2,2,15,1,1,1,9.255
1,20,2,2,16,2,3,3,6.605
3,18,1,1,1,1,2,2,9.723
3,18,1,1,2,2,1,3,10.407
3,18,1,1,3,1,4,1,17.059
3,18,1,1,4,2,2,2,11.64
3,18,1,1,5,1,3,2,11.046
3,18,1,1,6,2,4,4,5.035
3,18,1,1,7,1,3,3,26.897
3,18,1,1,8,2,4,4,11.835
3,18,1,1,9,1,2,2,8.469
3,18,1,1,10,2,1,1,6.451
3,18,1,1,11,1,3,3,9.868
3,18,1,1,12,2,1,1,4.101
3,18,1,1,13,1,4,4,16.277
3,18,1,1,14,2,2,2,15.991
3,18,1,1,15,1,1,1,10.11
3,18,1,1,16,2,3,3,4.891
1,19,2,2,1,1,2,2,7.178
1,19,2,2,2,2,1,3,6.714
1,19,2,2,3,1,4,4,17.823
1,19,2,2,4,2,2,2,9.908
1,19,2,2,5,1,3,3,11.547
1,19,2,2,6,2,4,4,10.72
1,19,2,2,7,1,3,3,13.458
1,19,2,2,8,2,4,4,11.36
1,19,2,2,9,1,2,2,12.63
1,19,2,2,10,2,1,1,4.816
1,19,2,2,11,1,3,4,6.808
1,19,2,2,12,2,1,1,1.626
1,19,2,2,13,1,4,4,20.677
1,19,2,2,14,2,2,2,27.978
1,19,2,2,15,1,1,1,2.08
1,19,2,2,16,2,3,3,3.927
2,25,4,4,1,1,2,2,3.205
2,25,4,4,2,2,1,1,2.914
2,25,4,4,3,1,4,4,3.503
2,25,4,4,4,2,2,2,6.717
2,25,4,4,5,1,3,3,2.598
2,25,4,4,6,2,4,4,2.638
2,25,4,4,7,1,3,3,9.611
2,25,4,4,8,2,4,4,7.659
2,25,4,4,9,1,2,2,7.477
2,25,4,4,10,2,1,1,4.272
2,25,4,4,11,1,3,3,4.324
2,25,4,4,12,2,1,1,1.784
2,25,4,4,13,1,4,4,4.338
2,25,4,4,14,2,2,2,2.856
2,25,4,4,15,1,1,1,5.527
2,25,4,4,16,2,3,3,2.767
